x.pos,y.pos,year,month,day,Depth,TNO,survey,transect,area,Nhat,yearmonth,impact
398352.03,6177902.38,2005,11,19,22.77,104,1,4,0.956,0,200511,0
398344.16,6178402.29,2005,11,19,22.89,104,1,4,0.956,0,200511,0
398341.8,6178902.28,2005,11,19,22.94,104,1,4,0.956,0,200511,0
398341.46,6179402.14,2005,11,19,22.93,104,1,4,0.956,0,200511,0
398369.51,6179901.38,2005,11,19,22.86,104,1,4,0.956,0,200511,0
398404.61,6180400.14,2005,11,19,22.81,104,1,4,0.956,0,200511,0
398435.31,6180899.18,2005,11,19,22.81,104,1,4,0.956,0,200511,0
398450.82,6181398.85,2005,11,19,22.87,104,1,4,0.956,0,200511,0
398466.2,6181899.25,2005,11,19,22.99,104,1,4,0.956,0,200511,0
400509.66,6182250.11,2005,11,19,23.36,105,1,5,0.346072,0,200511,0
400495.76,6181909.68,2005,11,19,23.14,105,1,5,0.956,0,200511,0
400485.49,6181409.79,2005,11,19,22.8,105,1,5,0.956,0,200511,0
400485.82,6180909.88,2005,11,19,22.45,105,1,5,0.956,0,200511,0
400517.74,6180411.04,2005,11,19,22.1,105,1,5,0.956,0,200511,0
400533.51,6179911.79,2005,11,19,21.68,105,1,5,0.956,0,200511,0
400490.7,6179413.63,2005,11,19,21.32,105,1,5,0.956,0,200511,0
400451.73,6178915.18,2005,11,19,20.99,105,1,5,0.956,0,200511,0
400435.35,6178415.54,2005,11,19,20.66,105,1,5,0.956,0,200511,0
400435.04,6177915.55,2005,11,19,20.36,105,1,5,0.956,0,200511,0
400428.24,6177415.65,2005,11,19,20.29,105,1,5,0.956,0,200511,0
400397.36,6176916.71,2005,11,19,20.5,105,1,5,0.956,0,200511,0
400387.6,6176417.06,2005,11,19,20.79,105,1,5,0.956,0,200511,0
400392.34,6175917.11,2005,11,19,21.01,105,1,5,0.956,0,200511,0
400360.64,6175418.27,2005,11,19,21.12,105,1,5,0.956,0,200511,0
400333.57,6174919.2,2005,11,19,21.13,105,1,5,0.956,0,200511,0
400356.49,6174419.92,2005,11,19,21.14,105,1,5,0.956,0,200511,0
400397.94,6173921.79,2005,11,19,21.14,105,1,5,0.956,0,200511,0
400414.9,6173422.25,2005,11,19,20.87,105,1,5,0.956,0,200511,0
400387.6,6172923.13,2005,11,19,20.56,105,1,5,0.956,0,200511,0
400360.33,6172423.89,2005,11,19,20.23,105,1,5,0.956,0,200511,0
400340.95,6171924.28,2005,11,19,19.87,105,1,5,0.956,0,200511,0
400327.34,6171424.47,2005,11,19,19.48,105,1,5,0.956,0,200511,0
400314.92,6170924.63,2005,11,19,19.12,105,1,5,0.956,0,200511,0
400309.66,6170424.76,2005,11,19,18.89,105,1,5,0.956,0,200511,0
400334.68,6169925.47,2005,11,19,18.59,105,1,5,0.956,0,200511,0
400347.66,6169425.71,2005,11,19,18.17,105,1,5,0.956,0,200511,0
400343.45,6168925.76,2005,11,19,17.51,105,1,5,0.956,0,200511,0
400343.78,6168425.83,2005,11,19,16.8,105,1,5,0.956,0,200511,0
400359.39,6167926.12,2005,11,19,16.11,105,1,5,0.956,0,200511,0
400362.97,6167426.15,2005,11,19,15.33,105,1,5,0.956,0,200511,0
400368.38,6166926.19,2005,11,19,14.31,105,1,5,0.956,0,200511,0
400364.08,6166426.2,2005,11,19,13.24,105,1,5,0.956,0,200511,0
400358.26,6165926.24,2005,11,19,14.12,105,1,5,0.956,0,200511,0
400346.07,6165426.56,2005,11,19,14.62,105,1,5,0.956,0,200511,0
400370.17,6164927.26,2005,11,19,14.87,105,1,5,0.956,0,200511,0
400376.43,6164427.22,2005,11,19,14.66,105,1,5,0.956,0,200511,0
400360.18,6163927.55,2005,11,19,15.5,105,1,5,0.956,0,200511,0
400363.51,6163427.69,2005,11,19,16.66,105,1,5,0.956,0,200511,0
400383.85,6162928.24,2005,11,19,17.77,105,1,5,0.956,0,200511,0
400390.18,6162428.38,2005,11,19,18.9,105,1,5,0.956,0,200511,0
400416.35,6161928.97,2005,11,19,20.01,105,1,5,0.956,0,200511,0
400422.28,6161429.1,2005,11,19,20.97,105,1,5,0.956,0,200511,0
400407.05,6160929.37,2005,11,19,21.83,105,1,5,0.956,0,200511,0
400388.56,6160429.74,2005,11,19,24.31,105,1,5,0.956,0,200511,0
400386.93,6159929.77,2005,11,19,25.31,105,1,5,0.956,0,200511,0
400392.13,6159429.8,2005,11,19,25.59,105,1,5,0.956,0,200511,0
400402.22,6158929.86,2005,11,19,25.95,105,1,5,0.956,0,200511,0
400421.47,6158430.31,2005,11,19,26.27,105,1,5,0.956,0,200511,0
400425.2,6157930.35,2005,11,19,26.48,105,1,5,0.956,0,200511,0
400423.26,6157430.38,2005,11,19,26.57,105,1,5,0.956,0,200511,0
400424.84,6156930.44,2005,11,19,26.64,105,1,5,0.956,0,200511,0
400432.62,6156430.53,2005,11,19,27.22,105,1,5,0.956,0,200511,0
400426.23,6155930.58,2005,11,19,27.58,105,1,5,0.956,0,200511,0
400425.41,6155430.62,2005,11,19,27.89,105,1,5,0.956,0,200511,0
400407.56,6154931.01,2005,11,19,28.32,105,1,5,0.956,0,200511,0
400402.21,6154431.08,2005,11,19,28.84,105,1,5,0.956,0,200511,0
400399.22,6153931.11,2005,11,19,29.35,105,1,5,0.956,0,200511,0
400408.84,6153431.22,2005,11,19,29.74,105,1,5,0.956,0,200511,0
400420.09,6152931.34,2005,11,19,30.02,105,1,5,0.956,0,200511,0
400423.33,6152431.37,2005,11,19,30.17,105,1,5,0.956,0,200511,0
400410.47,6151931.57,2005,11,19,30.23,105,1,5,0.956,0,200511,0
400402.81,6151431.65,2005,11,19,30.26,105,1,5,0.956,0,200511,0
400391.34,6150931.82,2005,11,19,30.24,105,1,5,0.956,0,200511,0
400387.71,6150431.86,2005,11,19,30.2,105,1,5,0.956,0,200511,0
400377.96,6149931.93,2005,11,19,30.12,105,1,5,0.956,0,200511,0
400380.01,6149431.97,2005,11,19,29.93,105,1,5,0.956,0,200511,0
400376.63,6148932,2005,11,19,29.02,105,1,5,0.956,0,200511,0
